"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Dlgap2",3.02141712876732e-121,0.71288663165446,0.991,0.973,1.38284219149422e-116,"Dlgap2"
"Phlda1",2.92476548354179e-120,0.358268175296811,0.778,0.473,1.33860666650741e-115,"Phlda1"
"Mitf",2.13878197619968e-119,0.502322568330373,0.706,0.377,9.78877734867071e-115,"Mitf"
"Gm34199",2.01674438314912e-118,0.507815850080116,0.831,0.47,9.23023569279692e-114,"Gm34199"
"Runx2",8.05178667574897e-117,0.719654510628428,0.883,0.676,3.68514172575679e-112,"Runx2"
"Flt3",2.9847633941446e-116,0.46915201639367,0.813,0.519,1.3660665102321e-111,"Flt3"
"Bcan",5.47459047054771e-116,0.537738975157726,0.828,0.496,2.50561056656028e-111,"Bcan"
"Ank1",1.24060265165943e-114,0.543721829377456,0.96,0.825,5.67799021611487e-110,"Ank1"
"Arl15",4.01406702890091e-114,0.669184470764154,0.96,0.877,1.83715819778737e-109,"Arl15"
"Cemip",2.62835945730239e-113,1.00513079291333,0.604,0.3,1.20294755641816e-108,"Cemip"
"Gm13067",7.51203271259757e-112,0.352387889745858,0.497,0.189,3.43810713190166e-107,"Gm13067"
"Prss23",2.20841749379439e-111,0.365616322652824,0.31,0.042,1.01074851855981e-106,"Prss23"
"Kcns3",1.67162640955374e-110,0.420561166586988,0.753,0.412,7.65069975124554e-106,"Kcns3"
"Cntnap5a",1.76540758239081e-110,0.795791614101809,0.982,0.938,8.07991742308625e-106,"Cntnap5a"
"Ppp2r2b",2.0927318235668e-110,0.603355329284703,0.988,0.965,9.57801501010055e-106,"Ppp2r2b"
"Frmpd1",4.14393275531202e-109,0.456612678388744,0.61,0.291,1.8965951434512e-104,"Frmpd1"
"Lpl",9.22975141125712e-109,0.32118954785132,0.347,0.07,4.22427262590416e-104,"Lpl"
"Kcnip2",4.44077349720663e-108,0.588480882793691,0.791,0.508,2.03245321420153e-103,"Kcnip2"
"Kcnab3",1.26371428044435e-107,0.5239504342079,0.783,0.472,5.78376751873769e-103,"Kcnab3"
"Nxph1",3.84599082001584e-107,0.727702887298561,0.982,0.667,1.76023307850485e-102,"Nxph1"
"Ephx4",1.22423583276016e-106,0.325744220497132,0.824,0.453,5.60308255937668e-102,"Ephx4"
"1190002N15Rik",1.62000870637311e-106,0.425458676445048,0.655,0.31,7.41445584732845e-102,"1190002N15Rik"
"9630002D21Rik",1.76138155149842e-106,0.602750365006354,0.643,0.301,8.06149108489796e-102,"9630002D21Rik"
